customerid,gender,age,annualincomek,spendingscore1100,state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
186,Male,30,99,97,NM,73,415, 333-3221, no, no,0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1, False
187,Female,54,101,24,NY,106,408, 422-1471, no, no,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1, False
188,Male,28,101,68,AZ,93,415, 399-7865, no, no,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2, False
189,Female,41,103,17,WY,164,510, 373-4819, no, no,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,1, False
190,Female,36,103,85,WA,51,408, 338-6981, no, no,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1, False
191,Female,34,103,23,CO,107,415, 418-4365, no, no,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0, False
192,Female,32,103,69,TX,130,415, 359-5461, no, no,0,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,1, False
193,Male,33,113,8,KY,80,408, 375-3586, no, no,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2, False
194,Female,38,113,91,MT,94,415, 407-8376, no, no,0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,0, False
195,Female,47,120,16,OK,118,408, 408-6496, no, yes,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1, False
196,Female,35,120,79,MD,117,415, 385-7688, no, yes,23,198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,1, False
197,Female,45,126,28,TN,78,415, 332-6934, no, no,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0, False
198,Male,32,126,74,TX,208,510, 378-3625, no, no,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2, True
199,Male,32,137,18,ME,131,510, 353-7292, yes, yes,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4, True
200,Male,30,137,83,DC,63,408, 399-6786, no, no,0,83,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,0, False
